Village,DOC_NUM,survey_number,fair_value,land_type,document_amount,extent,market_value,,old sub_division_number,,,,,
Cherthala thekku,2,268,16368,Wet land,5965000,37.15,160565.2759,,15,,,,,
Cherthala thekku,9,256,Null,Wet land,2700000,3.24,833333.3333,,16,,,,,
Cherthala thekku,15,175,66000,Residential Plot,998000,7.4,134864.8649,,1,,,,,
Cherthala thekku,23,55,95040,Residential Plot with NH/PWD road access,412500,4.5,91666.66667,,2/2/8/1,,,,,
Cherthala thekku,26,66,Null,Null,1675000,4.5,372222.2222,,10,,,,,
Cherthala thekku,27,70,71280,Residential Plot without vehicular access,100000,0.53,188679.2453,,13,,,,,
Cherthala thekku,28,73,Null,Null,247000,3.01,82059.80066,,23,,,,,
Cherthala thekku,29,155,66000,Residential Plot without vehicular access,100000,0.61,163934.4262,,1-Jan,,,,,
Cherthala thekku,31,33,105600,Residential Plot without vehicular access,150000,2.83,53003.53357,,7/C/13,,,,,
Cherthala thekku,32,37,147840,Residential Plot with Corp./Mun./Panch. road access,537500,3.48,154454.023,,13/2/26,,,,,
Cherthala thekku,33,243,84480,Residential Plot without vehicular access,1075000,2.83,379858.6572,,17,,,,,
Cherthala thekku,34,266,15840,Wet land,2700000,1.98,1363636.364,,3/B/7,,,,,
Cherthala thekku,40,303,792000,Commercially important Plot,1400317,8.28,169120.4106,,2/A/B,,,,,
Cherthala thekku,46,245,71280,Residential Plot without vehicular access,1125000,5.26,213878.327,,1/3/2001,,,,,
Cherthala thekku,47,185,100320,Residential Plot with Corp./Mun./Panch. road access,10000,0.6,16666.66667,,16/4,,,,,
Cherthala thekku,50,210,71280,Residential Plot without vehicular access,1430000,6.48,220679.0123,,9,,,,,
Cherthala thekku,52,176,66000,Residential Plot without vehicular access,392400,1.21,324297.5207,,13/6,,,,,:)
Cherthala thekku,53,22,13200,"	Wet land",40000,0.61,65573.77049,,4/A,,,,,
Cherthala thekku,55,118,Null,Null,50000,0.41,121951.2195,,14/A/2,,,,,
Cherthala thekku,57,311,528000,"	Residential Plot with NH/PWD road access",537500,1.21,444214.876,,8-Dec,,,,,
Cherthala thekku,59,158,66000,Residential Plot without vehicular access,3500000,1.5,2333333.333,,4-Feb,,,,,
Cherthala thekku,61,169,Null,Null,686000,3.81,180052.4934,,12,,,,,
Cherthala thekku,63,75,Null,Null,212500,1.74,122126.4368,,32,,,,,
Cherthala thekku,67,67,60720,Residential Plot without vehicular access,620000,3.52,176136.3636,,2,,,,,
Cherthala thekku,68,250,Null,Null,200000,4.5,44444.44444,,1,//kayel,,,,
Cherthala thekku,70,236,84480,Residential Plot without vehicular access,1200000,0.81,1481481.481,,17,,,,,
Cherthala thekku,73,82,84480,Residential Plot without vehicular access,800000,2.2,363636.3636,,11,,,,,
Cherthala thekku,74,230,Null,Null,4275000,6.7,638059.7015,,29,,,,,
Cherthala thekku,77,186,Null,Null,525000,3.24,162037.037,,13,,,,,
Cherthala thekku,80,162,100320,Residential Plot with Corp./Mun./Panch. road access,712500,0.92,774456.5217,,6,,,,,
Cherthala thekku,82,90,71280,Residential Plot without vehicular access,731000,12.29,59479.25142,,3,,,,,
Cherthala thekku,83,223,100320,Residential Plot with Corp./Mun./Panch. road access,765000,3.64,210164.8352,,4,,,,,
Cherthala thekku,85,180,71280,Residential Plot without vehicular access,810000,10.12,80039.52569,,7,,,,,
Cherthala thekku,90,267,95040,Residential Plot with Corp./Mun./Panch. road access,937500,4.53,206953.6424,,4,,,,,
Cherthala thekku,92,234,71280,Residential Plot without vehicular access,437500,5.5,79545.45455,,9,,,,,
Cherthala thekku,96,177,66000,Residential Plot without vehicular access,12500,2.29,5458.515284,,1,,,,,
Cherthala thekku,99,192,84480,Residential Plot without vehicular access,136000,2.28,59649.12281,,20,,,,,
Cherthala thekku,101,238,126720,Residential Plot with Corp./Mun./Panch. road access,120000,0.48,250000,,21,,,,,
Cherthala thekku,104,311,253440,Residential Plot with Corp./Mun./Panch. road access,4850000,4.6,1054347.826,,10,,,,,
Cherthala thekku,105,79,84480,Residential Plot without vehicular access,400000,1.78,224719.1011,,10,,,,,
Cherthala thekku,106,202,Null,Null,450000,2.1,214285.7143,,16,,,,,
Cherthala thekku,107,199,Null,Null,4575000,7.73,591849.9353,,21,,,,,
Cherthala thekku,109,51,14362,Wet land,500000,2.02,247524.7525,,1,,,,,
Cherthala thekku,117,35,95040,Residential Plot without vehicular access,1500000,1.41,1063829.787,,2,,,,,
Cherthala thekku,119,240,17160,Wet land,500000,4.73,105708.2452,,11,,,,,
Cherthala thekku,120,51,14362,Wet land,15000,0.17,88235.29412,,1,,,,,
Cherthala thekku,130,51,14362,Wet land,750000,2.43,308641.9753,,1,,,,,
Cherthala thekku,131,51,52800,Garden Land without road access,400000,3.24,123456.7901,,21,,,,,
Cherthala thekku,134,172,13200,Wet land,590650,4.5,131255.5556,,12,,,,,
Cherthala thekku,135,66,105600,Residential Plot with Corp./Mun./Panch. road access,200000,2.12,94339.62264,,1,,,,,
Cherthala thekku,138,97,Null,Null,3530000,14.2,248591.5493,,3,,,,,
Cherthala thekku,148,111,84480,Residential Plot without vehicular access,575000,0.81,709876.5432,,7,,,,,
Cherthala thekku,149,311,528000,Residential Plot with NH/PWD road access,9045911,8.69,1040956.387,,12,,,,,
Cherthala thekku,161,222,15840,Wet land,100000,2.2,45454.54545,,12,,,,,
Cherthala thekku,168,197,16368,Wet land,150000,1.6,93750,,10,,,,,
Cherthala thekku,175,49,79200,Residential Plot without vehicular access,522000,7.9,66075.94937,,5,,,,,
Cherthala thekku,177,157,66000,Residential Plot without vehicular access,150000,1.21,123966.9421,,4,,,,,
Cherthala thekku,182,110,84480,Residential Plot without vehicular access,3000000,4.45,674157.3034,,25,,,,,
Cherthala thekku,184,113,71280,Residential Plot without vehicular access,1187500,9.11,130351.2623,,16,,,,,
Cherthala thekku,185,44,84480,Residential Plot without vehicular access,100000,0.69,144927.5362,,11,,,,,
Cherthala thekku,193,250,95040,Residential Plot with Corp./Mun./Panch. road access,437500,4.61,94902.38612,,1,,,,,
Cherthala thekku,194,93,79200,Residential Plot without vehicular access,350000,2.83,123674.9117,,2,,,,,
Cherthala thekku,195,245,16368,Wet land,1250000,2.58,484496.124,,6,,,,,
Cherthala thekku,197,26,13200,Wet land,375000,2.2,170454.5455,,9,,,,,
Cherthala thekku,199,290,Null,Null,2450000,2.84,862676.0563,,7,,,,,
Cherthala thekku,200,80,Null,Null,300000,1.62,185185.1852,,19,,,,,
Cherthala thekku,201,117,52800,Residential Plot without vehicular access,300000,3.4,88235.29412,,5,,,,,
Cherthala thekku,209,45,Null,Null,850000,3.68,230978.2609,,16,,,,,
Cherthala thekku,215,41,95040,Residential Plot without vehicular access,250000,1.62,154320.9877,,10,,,,,
Cherthala thekku,217,233,Null,Null,200000,2.43,82304.52675,,9,,,,,
Cherthala thekku,218,238,Null,Null,3929200,2.89,1359584.775,,32,,,,,
Cherthala thekku,221,50,79200,Residential Plot without vehicular access,250000,2.43,102880.6584,,5,,,,,
Cherthala thekku,229,250,16368,Wet land,20000,0.4,50000,,1,,,,,
Cherthala thekku,231,24,76032,Residential Plot without vehicular access,500000,3.24,154320.9877,,23,,,,,
Cherthala thekku,232,264,63360,Residential Plot with NH/PWD road access,400000,3.73,107238.6059,,10,,,,,
Cherthala thekku,233,131,60720,Residential Plot without vehicular access,475000,6.09,77996.71593,,8,,,,,
Cherthala thekku,235,192,84480,Residential Plot without vehicular access,50500,0.58,87068.96552,,20,,,,,
Cherthala thekku,236,269,71280,Residential Plot without vehicular access,1075993,2.64,407573.1061,,11,,,,,
Cherthala thekku,237,192,84480,Residential Plot without vehicular access,175000,1.96,89285.71429,,20,,,,,
Cherthala thekku,238,192,84480,Residential Plot without vehicular access,133600,1.54,86753.24675,,20,,,,,
Cherthala thekku,239,192,84480,Residential Plot without vehicular access,331500,3.82,86780.10471,,20,,,,,
Cherthala thekku,240,158,Null,Null,650000,4.5,144444.4444,,27,,,,,
Cherthala thekku,241,77,79200,Residential Plot without vehicular access,375000,1.62,231481.4815,,9,,,,,
Cherthala thekku,243,210,Null,Null,275000,2.01,136815.9204,,29,,,,,
Cherthala thekku,246,127,13200,Wet land,50000,4.43,11286.68172,,4,,,,,
Cherthala thekku,248,6,13200,Wet land,400000,4.42,90497.73756,,3,,,,,
Cherthala thekku,252,132,116160,Residential Plot with NH/PWD road access,1680000,3.9,430769.2308,,14,,,,,
Cherthala thekku,255,221,15840,Wet land,980000,6.2,158064.5161,,12,,,,,
Cherthala thekku,259,32,84480,Residential Plot without vehicular access,765000,3.46,221098.2659,,11,,,,,
Cherthala thekku,261,250,95040,Residential Plot with Corp./Mun./Panch. road access,450000,1.73,260115.6069,,1,,,,,
Cherthala thekku,262,112,63360,Wet land,552000,1.62,340740.7407,,16,,,,,
Cherthala thekku,263,80,84480,Residential Plot without vehicular access,100000,1.19,84033.61345,,3,,,,,
Cherthala thekku,267,159,50160,Residential Plot without vehicular access,560000,2.26,247787.6106,,2,,,,,
Cherthala thekku,270,271,71280,Residential Plot without vehicular access,125000,0.7,178571.4286,,4,,,,,
Cherthala thekku,271,271,71280,Residential Plot without vehicular access,125000,0.71,176056.338,,4,,,,,
Cherthala thekku,276,7,60720,Residential Plot without vehicular access,500000,6.47,77279.7527,,3,,,,,
Cherthala thekku,277,7,60720,Residential Plot without vehicular access,281000,3.64,77197.8022,,3,,,,,
Cherthala thekku,279,208,71280,Residential Plot without vehicular access,444500,2.2,202045.4545,,6,,,,,
Cherthala thekku,280,8,92400,Residential Plot with Corp./Mun./Panch. road access,357000,4.5,79333.33333,,9,,,,,
Cherthala thekku,281,180,71280,Residential Plot without vehicular access,600000,3.64,164835.1648,,7,,,,,
Cherthala thekku,284,250,95040,Residential Plot with Corp./Mun./Panch. road access,200000,2.83,70671.37809,,1,,,,,
Cherthala thekku,286,113,71280,Residential Plot without vehicular access,4500000,12.6,357142.8571,,14,,,,,
Cherthala thekku,288,51,14362,Wet land,175000,1.21,144628.0992,,1,,,,,
Cherthala thekku,293,76,79200,Residential Plot without vehicular access,231200,1.85,124972.973,,6,,,,,
Cherthala thekku,294,76,79200,Residential Plot without vehicular access,265000,2.12,125000,,6,,,,,
Cherthala thekku,296,212,Null,Null,700000,3.24,216049.3827,,36,,,,,
Cherthala thekku,303,124,71280,"Residential Plot without vehicular access	",713100,4.5,158466.6667,,9/2/2002,,,,,
Cherthala thekku,304,124,71280,"Residential Plot without vehicular access	",1215000,6.9,176086.9565,,9/1/2002,,,,,
Cherthala thekku,305,124,71280,"Residential Plot without vehicular access	",713100,4.05,176074.0741,,9/1/2002,,,,,
Cherthala thekku,309,92,71280,Residential Plot without vehicular access,115000,2.2,52272.72727,,1/A/4,,,,,
Cherthala thekku,314,208,Null,Null,650000,5.23,124282.9828,,14 / 1,,,,,
Cherthala thekku,315,167,13200,Wet land,3500,1.68,2083.333333,,13/A/3,,,,,
Cherthala thekku,316,237,126720,Residential Plot with Corp./Mun./Panch. road access,50000,0.4,125000,,1/A,,,,,
Cherthala thekku,317,237,126720,Residential Plot with Corp./Mun./Panch. road access,12500,0.14,89285.71429,,1/A,,,,,
Cherthala thekku,318,237,126720,"	Residential Plot with Corp./Mun./Panch. road access",12500,1.7,7352.941176,,1-Apr,,,,,
Cherthala thekku,319,236,84480,"	Residential Plot without vehicular access",2591500,2.87,902961.6725,,23/1,,,,,
Cherthala thekku,321,210,15840,"Wet land	",460000,2.2,209090.9091,,11/5/2002,,,,,
Cherthala thekku,322,69,105600,Residential Plot with Corp./Mun./Panch. road access,250000,4.05,61728.39506,,5/3/2003,,,,,
Cherthala thekku,323,143,66000,Garden Land without road access,450000,2.2,204545.4545,,2/2/2002,,,,,
Cherthala thekku,327,176,Null,Null,325000,1.64,198170.7317,,25/A/35,,,,,
Cherthala thekku,328,110,84480,"	Residential Plot without vehicular access",660522,3.3,200158.1818,,11,,,,,
Cherthala thekku,330,51,14362,Wet land,1093750,3.55,308098.5915,,1/4/2/8,,,,,
Cherthala thekku,332,86,71280,Residential Plot without vehicular access,1683000,3.8,442894.7368,,3-Jan,,,,,
Cherthala thekku,333,142,110880,Residential Plot with Corp./Mun./Panch. road access,315000,0.91,346153.8462,,7/A,,,,,
Cherthala thekku,335,150,100320,Residential Plot with Corp./Mun./Panch. road access,400000,2.24,178571.4286,,8/B,,,,,
Cherthala thekku,336,150,100320,Residential Plot with Corp./Mun./Panch. road access,362500,2.2,164772.7273,,8/B,,,,,
Cherthala thekku,337,30,84480,Residential Plot with Corp./Mun./Panch. road access,1250500,2.2,568409.0909,,11,,,,,
Cherthala thekku,338,143,66000,Garden Land without road access,250000,1.91,130890.0524,,Jan-72,,,,,
Cherthala thekku,339,183,Null,Null,999400,2.27,440264.3172,,14/A,,,,,
Cherthala thekku,340,129,60720,Residential Plot without vehicular access,2236000,4.47,500223.7136,,5/B/5/2,,,,,
Cherthala thekku,341,264,126720,Residential Plot with NH/PWD road access,870000,1,870000,,3,,,,,
Cherthala thekku,351,110,152064,Residential Plot with NH/PWD road access,775000,8.98,86302.89532,,,,,,,
Cherthala thekku,353,131,60720,Residential Plot without vehicular access,1400000,5.68,246478.8732,,,,,,,
Cherthala thekku,355,51,52800,Garden Land without road access,500000,2.83,176678.4452,,,,,,,
Cherthala thekku,358,193,84480,Residential Plot without vehicular access,999500,5.31,188229.7552,,,,,,,
Cherthala thekku,359,198,Null,Null,825000,2.74,301094.8905,,,,,,,
Cherthala thekku,370,62,158400,Commercially important Plot,1865250,2.03,918842.3645,,,,,,,
Cherthala thekku,371,62,158400,Commercially important Plot,375000,0.4,937500,,,,,,,
Cherthala thekku,376,172,95040,Residential Plot with Corp./Mun./Panch. road access,100000,0.53,188679.2453,,,,,,,
Cherthala thekku,377,240,17160,Wet land,12813760,14.9,859983.8926,,,,,,,
Cherthala thekku,384,162,116160,Residential Plot with NH/PWD road access,1918500,2.43,789506.1728,,,,,,,
Cherthala thekku,394,312,118800,Coastal belt,718000,3.18,225786.1635,,,,,,,
Cherthala thekku,395,79,84480,Residential Plot without vehicular access,751000,2.2,341363.6364,,,,,,,
Cherthala thekku,402,143,66000,Garden Land without road access,450000,2.52,178571.4286,,,,,,,
Cherthala thekku,416,234,79200,Residential Plot without vehicular access,900000,2.22,405405.4054,,,,,,,
Cherthala thekku,418,143,13200,Wet land,650000,1.99,326633.1658,,,,,,,
Cherthala thekku,419,89,71280,Residential Plot without vehicular access,315000,2.97,106060.6061,,,,,,,
Cherthala thekku,432,150,100320,Residential Plot with Corp./Mun./Panch. road access,250000,4.5,55555.55556,,,,,,,
Cherthala thekku,433,150,100320,Residential Plot with Corp./Mun./Panch. road access,275000,4.45,61797.75281,,,,,,,
Cherthala thekku,443,208,15840,Wet land,187500,0.81,231481.4815,,,,,,,
Cherthala thekku,449,51,14362,Wet land,1250000,4.5,277777.7778,,,,,,,
Cherthala thekku,454,38,147840,Residential Plot with Corp./Mun./Panch. road access,2000000,2.53,790513.834,,,,,,,
Cherthala thekku,459,75,79200,Residential Plot without vehicular access,464600,4.41,105351.4739,,,,,,,
Cherthala thekku,469,194,84480,Residential Plot without vehicular access,20000,0.19,105263.1579,,,,,,,
Cherthala thekku,472,226,71280,Residential Plot without vehicular access,2075000,9.22,225054.2299,,,,,,,
Cherthala thekku,473,226,71280,Residential Plot without vehicular access,83500,0.37,225675.6757,,,,,,,
Cherthala thekku,475,78,84480,Residential Plot without vehicular access,280000,3.41,82111.43695,,,,,,,
Cherthala thekku,477,102,71280,Residential Plot without vehicular access,523000,3.73,140214.4772,,,,,,,
Cherthala thekku,483,264,71280,Residential Plot without vehicular access,150000,2.2,68181.81818,,,,,,,
Cherthala thekku,492,73,110880,Residential Plot with Corp./Mun./Panch. road access,100000,0.93,107526.8817,,,,,,,
Cherthala thekku,504,38,95040,Residential Plot without vehicular access,2753000,2.89,952595.1557,,6,,,,,
Cherthala thekku,508,126,126720,Residential Plot with NH/PWD road access,75000,0.5,150000,,13,,,,,
Cherthala thekku,514,118,50160,Residential Plot without vehicular access,250000,2.42,103305.7851,,3,,,,,
Cherthala thekku,526,142,66000,Garden Land with road access,9500000,18.6,510752.6882,,9,,,,,
Cherthala thekku,527,141,13200,Wet Land,800000,1.42,563380.2817,,1,,,,,
Cherthala thekku,528,240,126720,Residential Plot with Corp./Mun./Panch. road access,1000000,8.1,123456.7901,,3,,,,,
Cherthala thekku,529,240,126720,Residential Plot with Corp./Mun./Panch. road access,500000,4.69,106609.8081,,3,,,,,
Cherthala thekku,530,50,137280,Residential Plot with NH/PWD road access,800000,4.22,189573.4597,,4,,,,,
Cherthala thekku,532,180,71280,Residential Plot without vehicular access,100000,1.21,82644.6281,,5,,,,,
Cherthala thekku,535,45,84480,Residential Plot without vehicular access,71500,0.81,88271.60494,,10,,,,,
Cherthala thekku,536,75,79200,Residential Plot without vehicular access,500000,3.4,147058.8235,,6,,,,,
Cherthala thekku,539,128,60720,Residential Plot without vehicular access,264700,4.7,56319.14894,,6,,,,,
Cherthala thekku,542,51,14362,Wet Land,70000,0.4,175000,,1,,,,,
Cherthala thekku,543,268,71280,Residential Plot without vehicular access,3900000,2.63,1482889.734,,14,,,,,
Cherthala thekku,544,243,17160,Wet Land,1220000,2.07,589371.9807,,7,,,,,
Cherthala thekku,561,288,71280,Residential Plot without vehicular access,12500,0.17,73529.41176,,5,,,,,
Cherthala thekku,563,258,15840,Wet land,600000,0.91,659340.6593,,14,,,,,
Cherthala thekku,573,95,66000,Water logged land,800000,4.64,172413.7931,,7,,,,,
Cherthala thekku,583,37,147840,Residential Plot with Corp./Mun./Panch. road access,1400000,7.29,192043.8957,,2,,,,,
Cherthala thekku,564,67,60720,Residential Plot without vehicular access,45000,0.81,55555.55556,,14,,,,,
Cherthala thekku,594,8,60720,Residential Plot without vehicular access,600000,7.9,75949.36709,,14,,,,,
Cherthala thekku,575,95,66000,Water logged land,500000,0.5,1000000,,7,,,,,
Cherthala thekku,585,73,110880,Residential Plot with Corp./Mun./Panch. road access,191200,1.81,105635.3591,,6,,,,,
Cherthala thekku,566,117,52800,Residential Plot without vehicular access,625000,2.93,213310.5802,,4,,,,,
Cherthala thekku,567,245,15840,Wet Land,252000,2.4,105000,,21,,,,,
Cherthala thekku,586,31,89760,Residential Plot without vehicular access,125000,1.62,77160.49383,,14,,,,,
Cherthala thekku,587,71,47520,Water logged land,5000,2.55,1960.784314,,4,,,,,
Cherthala thekku,596,102,71280,Residential Plot without vehicular access,262500,2.56,102539.0625,,1,,,,,
Cherthala thekku,619,166,26400,Wet Land,76000,0.53,143396.2264,,9,,,,,
Cherthala thekku,623,55,71280,Residential Plot without vehicular access,657800,2.43,270699.5885,,8,,,,,
Cherthala thekku,628,51,14362,Wet Land,128700,2.43,52962.96296,,1,,,,,
Cherthala thekku,629,167,13200,Wet Land,125000,2.47,50607.28745,,7,,,,,
Cherthala thekku,630,129,39600,Residential Plot without vehicular access,15953000,10.76,1482620.818,,7,,,,,
Cherthala thekku,642,266,15840,Wet Land,2950000,2.2,1340909.091,,3,,,,,
Cherthala thekku,644,286,95040,Residential Plot without vehicular access,4000000,2.7,1481481.481,,8,,,,,
Cherthala thekku,646,165,13200,Wet Land,2800000,2.43,1152263.374,,2,,,,,
Cherthala thekku,647,208,15840,Wet Land,2000000,13.04,153374.2331,,3,,,,,
Cherthala thekku,648,250,16368,Wet Land,801400,18.2,44032.96703,,1,,,,,
Cherthala thekku,650,155,126720,Residential Plot with NH/PWD road access,937500,1.89,496031.746,,13,,,,,
Cherthala thekku,667,267,95040,Residential Plot with NH/PWD road access,750000,4.5,166666.6667,,4,,,,,
Cherthala thekku,672,22,89760,Residential Plot without vehicular access,126000,5,25200,,9,,,,,
Cherthala thekku,1001,118,50160,Residential Plot without vehicular access,250000,2.7,92592.59259,,4,,,,,
Cherthala thekku,1003,28,105600,Residential Plot without vehicular access,200000,2.83,70671.37809,,11,,,,,
Cherthala thekku,1004,28,105600,Residential Plot without vehicular access,71500,1.1,65000,,11,,,,,
Cherthala thekku,1010,235,13200,Wet land,2500000,0.4,6250000,,13,,,,,
Cherthala thekku,1014,242,84480,Residential Plot without vehicular access,6200,1.7,3647.058824,,17,,,,,
Cherthala thekku,1017,205,71280,Residential Plot without vehicular access,380000,2.63,144486.692,,1,,,,,
Cherthala thekku,1026,242,84480,Residential Plot without vehicular access,171000,2.2,77727.27273,,17,,,,,
Cherthala thekku,1032,227,11880,Wet land,75000,0.28,267857.1429,,10,,,,,
Cherthala thekku,1036,168,71280,Residential Plot without vehicular access,112500,0.53,212264.1509,,17,,,,,
Cherthala thekku,1037,182,28512,Garden Land without road access,6000,0.85,7058.823529,,7,,,,,
Cherthala thekku,1038,107,84480,Residential Plot without vehicular access,100000,1.08,92592.59259,,5,,,,,
Cherthala thekku,1053,101,237600,Commercially important Plot,638500,2.2,290227.2727,,19,,,,,
Cherthala thekku,1061,218,79200,Residential Plot without vehicular access,300000,2.84,105633.8028,,6,,,,,
Cherthala thekku,1062,218,79200,Residential Plot without vehicular access,100000,0.83,120481.9277,,6,,,,,
Cherthala thekku,1064,61,132000,Residential Plot without vehicular access,300000,4.5,66666.66667,,13,,,,,
Cherthala thekku,1067,236,84480,Residential Plot without vehicular access,12500,0.44,28409.09091,,7,,,,,
Cherthala thekku,1070,157,13200,Wet land,400000,1.7,235294.1176,,9,,,,,
Cherthala thekku,1094,85,71280,Residential Plot without vehicular access,37500,0.13,288461.5385,,3,,,,,
Cherthala thekku,1100,88,71280,Residential Plot without vehicular access,450000,3.25,138461.5385,,8,,,,,
Cherthala thekku,1102,133,60720,Residential Plot without vehicular access,1505000,6.8,221323.5294,,6,,,,,
Cherthala thekku,1102,133,60720,Residential Plot without vehicular access,1505000,1.9,792105.2632,,7,,,,,
Cherthala thekku,1102,131,60720,Residential Plot without vehicular access,1505000,1.88,800531.9149,,5,,,,,
Cherthala thekku,1102,134,60720,Residential Plot without vehicular access,1505000,1.1,1368181.818,,1,,,,,
Cherthala thekku,1105,171,95040,Residential Plot with NH/PWD road access,312500,1.9,164473.6842,,2,,,,,
Cherthala thekku,1106,261,15840,Wet land,1800000,1.82,989010.989,,1,,,,,
Cherthala thekku,1107,85,126720,Residential Plot with NH/PWD road access,6200,0.81,7654.320988,,3,,,,,
Cherthala thekku,1109,235,84480,Residential Plot without vehicular access,265000,1,265000,,10,,,,,
Cherthala thekku,1111,150,13200,Wet land,50000,0.41,121951.2195,,7,,,,,
Cherthala thekku,1116,123,71280,Residential Plot without vehicular access,131000,1.81,72375.69061,,2,,,,,
Cherthala thekku,1118,172,21120,Wet land,890000,1.47,605442.1769,,1,,,,,
Cherthala thekku,1119,220,79200,Residential Plot without vehicular access,638754,2.35,271810.2128,,1,,,,,
Cherthala thekku,1122,68,71280,Residential Plot without vehicular access,262500,2.55,102941.1765,,1,,,,,
Cherthala thekku,1130,70,71280,Residential Plot without vehicular access,350000,2.84,123239.4366,,6,,,,,
Cherthala thekku,1135,150,79200,Garden Land without road access,1500000,2.22,675675.6757,,11,,,,,
